PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
4044610001,40446100,28.76126,82,1,\N,\N,4044610002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1950,300,\N,1,2,2,\N,2,\N,1,\N,\N,7,3,83,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,19,40,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3968.79,0,0,0,0,0,3,3,1
4044610002,40446100,28.76126,76,2,\N,\N,4044610001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1960,400,4,1,2,2,\N,2,\N,1,\N,\N,7,3,22,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,22,38,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,2065.91,0,0,0,0,0,3,3,1
4044620001,40446200,81.58926,80,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1956,600,4,1,1,2,\N,2,\N,1,\N,\N,7,3,13,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,17,40,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,5172.3,243.28,0,0,0,0,3,3,1
4044620002,40446200,81.58926,41,1,\N,4044620001,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,1991,300,3,2,3,2,\N,2,\N,\N,\N,\N,3,2,71,40,0,0,12,0,0,0,0,0,0,0,0,\N,41,\N,18,24,1,\N,\N,8298.7,6380,0,0,2570.94,0,1361.21,1277.45,0,0,0,0,0,0,0,0,0,3,3,1
4044730001,40447300,70.88343,39,1,\N,\N,4044730003,\N,\N,\N,\N,\N,\N,2,1,2,\N,1994,400,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,71,40,12,0,0,0,0,0,0,0,0,0,0,\N,69,\N,18,17,15,1,2,1111.19,1011.18,0,0,344.25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044730002,40447300,70.88343,6,1,4044730001,4044730003,\N,40,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044730003,40447300,70.88343,38,2,\N,\N,4044730001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1994,300,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,24,40,4,0,0,0,0,0,0,0,0,0,8,\N,69,\N,21,8,2,1,2,1296.34,1122.32,0,0,401.6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044730004,40447300,70.88343,0,2,4044730001,4044730003,\N,\N,\N,\N,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044740002,40447400,153.87623,66,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,5,3,2,\N,1976,600,3,2,3,2,\N,2,\N,1,\N,\N,7,3,23,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,16,45,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3535.07,0,0,0,0,0,3,3,1
4044750001,40447500,114.69931,72,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1965,400,4,1,2,2,\N,2,\N,1,\N,\N,7,3,21,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,17,34,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,2683.61,243.28,0,0,0,0,3,3,1
4044760001,40447600,370.62606,43,1,\N,\N,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,1989,300,2,2,3,2,\N,2,\N,\N,\N,\N,3,1,12,40,0,0,12,0,0,0,0,0,0,0,0,\N,52,\N,22,21,6,\N,\N,13812,11686.73,0,0,2888.24,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
